File,Wire,Cable,From,From pin,From signal,From terminal,To,To pin,To signal,To terminal,Colour,AWG,Route,Est mm,Splice,Done
B-engine,w_rail_sp_8v_e,,Bulkhead A - engine plug (HDP26-24-47SE-L015),4,+8V Out to cam Hall,0462-201-1631,Cam Hall Sensor,c1,+8V,(generic),Orange/White,20,bn_bp_1050__bh_a_eng > bn_bp_1020__bp_1050 > bn_bp_990__bp_1020 > bn_bp_960__bp_990 > bn_bp_930__bp_960 > bn_bp_900__bp_930 > bn_bp_900__cam,1550,,
B-engine,w_rail_sp_gndout_e,,Bulkhead A - engine plug (HDP26-24-47SE-L015),3,Gnd Out to engine sensors,0462-201-1631,sp_gndout_eng,,,,Black/White,20,,,sp_gndout_eng,
B-engine,w_rail_sp_sw12_e,,Bulkhead A - engine plug (HDP26-24-47SE-L015),5,Switched 12V to engine sensors,0462-201-1631,sp_sw12_eng,,,,Red,18,,,sp_sw12_eng,
B-engine,w_strl,,K6-c4,1,"Dummy - real part on the owning drawing, 6.15",,Starter Solenoid Trigger (S),,,,Red,12,bn_bp_1020__dm_k_str_c4 > bn_bp_990__bp_1020 > bn_bp_990__starter_trigger,1690,,
B-engine,w_vss_12v,,sp_sw12_eng,,,,"Gearbox VSS (3-wire, Toyota) - actual road speed",1,+12V switched,8100-0461,Red,20,,,sp_sw12_eng,
B-engine,w_vss_gnd,,"Gearbox VSS (3-wire, Toyota) - actual road speed",2,Ground,8100-0461,sp_gndout_eng,,,,Black,20,,,sp_gndout_eng,
B-engine,w_vss_sig_e,,"Gearbox VSS (3-wire, Toyota) - actual road speed",3,Gearbox VSS signal -> bulkhead B c15 *,8100-0461,Bulkhead B - engine plug (HDP26-24-21SN),15,"Gearbox VSS signal (ECU B29, DI 8)",0462-201-1631,Green,20,bn_bp_930__vss > bn_bp_900__bp_930 > bn_bp_870__bp_900 > bn_bp_840__bp_870 > bn_bp_810__bp_840 > bn_bh_b_eng__bp_810,1380,,
CAN,wc_h_bh,,sp_canh,,,,Bulkhead A - firewall (HDP24-24-47PE-L017),30,CAN H to Lambda,0460-202-2031,White,20,,,sp_canh,
CAN,wc_h_clu,,sp_canh,,,,TrackCluster ESP32-P4 - CAN drop *,,,,White,20,,,sp_canh,
CAN,wc_h_csb,,sp_canh,,,,ECUMaster CSB3 *,5,CAN H,,White,20,,,sp_canh,
CAN,wc_h_ecu,,ECU Comms/Tuning Port,C3,CAN 1 High (White),0462-201-2031,sp_canh,,,,White,20,,,sp_canh,
CAN,wc_h_lam,,Bulkhead A - engine plug (HDP26-24-47SE-L015),30,CAN H to Lambda,0462-201-2031,sp_canh_lam,,,,White,20,,,sp_canh_lam,
CAN,wc_h_lam_pin,,sp_canh_lam,,,,Link CAN-Lambda,c4,CAN H,0462-201-2031,White,20,,,sp_canh_lam,
CAN,wc_h_rd,,sp_canh,,,,RealDash Pi 5 - CAN drop *,,,,White,20,,,sp_canh,
CAN,wc_l_bh,,sp_canl,,,,Bulkhead A - firewall (HDP24-24-47PE-L017),31,CAN L to Lambda,0460-202-2031,Green,20,,,sp_canl,
CAN,wc_l_clu,,sp_canl,,,,TrackCluster ESP32-P4 - CAN drop *,,,,Green,20,,,sp_canl,
CAN,wc_l_csb,,sp_canl,,,,ECUMaster CSB3 *,6,CAN L,,Green,20,,,sp_canl,
CAN,wc_l_ecu,,ECU Comms/Tuning Port,C4,CAN 1 Low (Green),0462-201-2031,sp_canl,,,,Green,20,,,sp_canl,
CAN,wc_l_lam,,Bulkhead A - engine plug (HDP26-24-47SE-L015),31,CAN L to Lambda,0462-201-2031,sp_canl_lam,,,,Green,20,,,sp_canl_lam,
CAN,wc_l_lam_pin,,sp_canl_lam,,,,Link CAN-Lambda,c3,CAN L,0462-201-2031,Green,20,,,sp_canl_lam,
CAN,wc_l_rd,,sp_canl,,,,RealDash Pi 5 - CAN drop *,,,,Green,20,,,sp_canl,
CAN,wc_term1,,r_term_ecu,,,,sp_canh,,,,White,20,,,sp_canh,
CAN,wc_term2,,r_term_ecu,,,,sp_canl,,,,Green,20,,,sp_canl,
CAN,wc_term3,,r_term_end,,,,sp_canh_lam,,,,White,20,,,sp_canh_lam,
CAN,wc_term4,,r_term_end,,,,sp_canl_lam,,,,Green,20,,,sp_canl_lam,
ClusterLED,w_chg_a,,sp_led_12v,,,,d_chg,,,,Black/Orange,20,,,sp_led_12v,
ClusterLED,w_chg_ex_a,,sp_led_12v,,,,r_chg_excite,,,,Black,20,,,sp_led_12v,
ClusterLED,w_chg_ex_k,,r_chg_excite,,,,OEM cluster connector C12,8,Alt L (Y) - charge-lamp drive,(generic),Yellow,20,,,,
ClusterLED,w_chg_k,,d_chg,,,,OEM cluster connector C12,8,Alt L (Y) - charge-lamp drive,(generic),Yellow,20,,,,
ClusterLED,w_hb_a,,OEM cluster connector C11,12,High beam (R-L) - body residual feed,(generic),d_hb,,,,Red,20,,,,
ClusterLED,w_hb_k,,d_hb,,,,sp_led_gnd,,,,Black,20,,,sp_led_gnd,
